# Format: p, role, resource, action
p, admin, patient_data, read
p, admin, patient_data, write
p, admin, patient_data, delete
p, admin, model_artifacts, read
p, admin, model_artifacts, write

p, ml_engineer, training_data, read
p, ml_engineer, model_artifacts, read
p, ml_engineer, model_artifacts, write
# Engine là allow-only (default deny): không có p-line nào cấp
# ml_engineer quyền delete production_data hoặc read patient_data (raw PII),
# nên 2 hành động đó tự động bị từ chối.

p, data_analyst, aggregated_metrics, read
p, data_analyst, reports, write
# Không có p-line cấp data_analyst quyền read patient_data,
# nên raw PII tự động bị từ chối (default deny).

p, intern, sandbox_data, read
p, intern, sandbox_data, write
# Không có p-line nào cấp intern quyền trên patient_data/training_data/
# model_artifacts (production resources), nên bị từ chối mặc định.

# Role inheritance
g, alice, admin
g, bob, ml_engineer
g, carol, data_analyst
g, dave, intern
